商品名称,商品ID,评论内容,评论时间,评论人昵称,顾客会员等级,购物使用的平台
Apple iPhone 7 Plus 128G 红色特别版 移动联通电信4G手机,3995645,价格挺合适的 满意~~~~~,2018-03-14 12:05:24,纸***0,钻石会员,

Apple iPhone 7 Plus 128G 红色特别版 移动联通电信4G手机,3995645,手机很好用，屏幕大小合适，很棒，很满意噢,2018-03-14 11:41:51,无***0,钻石会员,

Apple iPhone 7 Plus 128G 红色特别版 移动联通电信4G手机,3995645,不错的手机，颜色很有特色，运行很快,2018-03-14 10:45:13,1***7,PLUS会员,来自京东Android客户端

Apple iPhone 7 Plus 128G 红色特别版 移动联通电信4G手机,3995645,此用户未及时评价，系统默认好评。,2018-03-14 10:43:23,我***敏,钻石会员,来自京东Android客户端

Apple iPhone 7 Plus 128G 红色特别版 移动联通电信4G手机,3995645,屏幕很清晰，操作很流畅，照相也很清楚，价格实惠，满意！,2018-03-13 23:06:29,杨***儿,PLUS会员,来自京东Android客户端

Apple iPhone 7 Plus 128G 红色特别版 移动联通电信4G手机,3995645,电视信号比以前的好多了好多了。,2018-03-13 22:17:02,j***8,PLUS会员,来自京东Android客户端

Apple iPhone 7 Plus 128G 红色特别版 移动联通电信4G手机,3995645,好用价格实惠，发货挺快的，京东值得信赖。质量不错,2018-03-13 20:32:24,我***n,钻石会员,来自京东Android客户端

Apple iPhone 7 Plus 128G 红色特别版 移动联通电信4G手机,3995645,电话用了两个月，两个星期前发现软件商店无法下载更新软件？账户无法登陆,2018-03-13 09:58:02,x***熊,银牌会员,来自京东iPhone客户端

Apple iPhone 7 Plus 128G 红色特别版 移动联通电信4G手机,3995645,还不错，客服态度很好，物美价廉，需要还会再来,2018-03-12 18:42:10,j***w,钻石会员,来自京东Android客户端

Apple iPhone 7 Plus 128G 红色特别版 移动联通电信4G手机,3995645,还是蛮快的，好用，质量靠谱。,2018-03-12 17:33:28,c***g,钻石会员,

Apple iPhone 7 Plus 128G 红色特别版 移动联通电信4G手机,3995645,这个颜色的手机很好看，送给朋友的,2018-03-12 16:21:24,不***吗,PLUS会员,来自京东iPhone客户端

Apple iPhone 7 Plus 128G 红色特别版 移动联通电信4G手机,3995645,宝贝质量不错，同事们都在用这个牌子，物流神速，当天基本到货，总体满意，必须好评。,2018-03-12 15:56:09,j***c,钻石会员,来自京东Android客户端

Apple iPhone 7 Plus 128G 红色特别版 移动联通电信4G手机,3995645,东西真不错，一直在京东买，活动力度大，物流超级快，已经成为京东迷啦，快快加入我们,2018-03-12 15:33:18,玥***儿,金牌会员,来自京东iPhone客户端

Apple iPhone 7 Plus 128G 红色特别版 移动联通电信4G手机,3995645,用了2个多月，自我感觉很好，没毛病，京东果然没令我失望，以后还会买iphone 的,2018-03-12 12:38:35,J***1,金牌会员,来自京东iPhone客户端

Apple iPhone 7 Plus 128G 红色特别版 移动联通电信4G手机,3995645,老婆很喜欢?,2018-03-12 11:09:29,j***o,钻石会员,来自京东iPhone客户端

Apple iPhone 7 Plus 128G 红色特别版 移动联通电信4G手机,3995645,红色的很漂亮，红苹果????????????????,2018-03-11 21:40:02,姗***1,钻石会员,来自京东iPhone客户端

Apple iPhone 7 Plus 128G 红色特别版 移动联通电信4G手机,3995645,此用户未及时评价，系统默认好评。,2018-03-11 16:08:17,j***x,钻石会员,来自京东Android客户端

Apple iPhone 7 Plus 128G 红色特别版 移动联通电信4G手机,3995645,还不错，好用，靠谱。,2018-03-11 13:39:16,j***3,钻石会员,

Apple iPhone 7 Plus 128G 红色特别版 移动联通电信4G手机,3995645,一直以来都很信赖京东，昨天下单今天就到了，爽！,2018-03-11 12:49:37,j***b,金牌会员,来自京东iPhone客户端

Apple iPhone 7 Plus 128G 红色特别版 移动联通电信4G手机,3995645,好评,2018-03-11 01:10:00,j***a,PLUS会员,

Apple iPhone 7 Plus 128G 红色特别版 移动联通电信4G手机,3995645,手机很好，反应很快，游戏也流畅。,2018-03-09 22:08:37,你***亲,钻石会员,来自京东Android客户端

Apple iPhone 7 Plus 128G 红色特别版 移动联通电信4G手机,3995645,手机很好，反应很快，游戏也流畅。,2018-03-09 22:01:19,肉***6,钻石会员,来自京东Android客户端

Apple iPhone 7 Plus 128G 红色特别版 移动联通电信4G手机,3995645,手机不错，反应很快，游戏也流畅。,2018-03-09 21:50:40,蝶***我,钻石会员,来自京东Android客户端

Apple iPhone 7 Plus 128G 红色特别版 移动联通电信4G手机,3995645,红色与众不同的一款手机 也就苹果出这个了 值得购买,2018-03-09 20:31:18,R***N,PLUS会员,来自京东iPhone客户端

Apple iPhone 7 Plus 128G 红色特别版 移动联通电信4G手机,3995645,此用户未及时评价，系统默认好评。,2018-03-09 17:48:42,m***6,金牌会员,来自京东Android客户端

Apple iPhone 7 Plus 128G 红色特别版 移动联通电信4G手机,3995645,给老妈买的，用着一直没问题，冷光屏挺好～,2018-03-09 15:26:35,小黑哥哥_86,PLUS会员,来自京东iPhone客户端

Apple iPhone 7 Plus 128G 红色特别版 移动联通电信4G手机,3995645,超级漂亮的红色，正品正品！,2018-03-09 14:20:25,j***c,PLUS会员,来自京东iPhone客户端

Apple iPhone 7 Plus 128G 红色特别版 移动联通电信4G手机,3995645,发货速度，很不错的产品哦京东值得信赖。,2018-03-09 11:59:15,王***9,钻石会员,来自京东Android客户端

Apple iPhone 7 Plus 128G 红色特别版 移动联通电信4G手机,3995645,京东送货很快，手机用了一段时间，挺好用的！,2018-03-09 10:40:22,蜗***鸟,钻石会员,

Apple iPhone 7 Plus 128G 红色特别版 移动联通电信4G手机,3995645,正品 信赖京东,2018-03-08 22:28:16,水***舟,钻石会员,来自京东iPhone客户端

Apple iPhone 7 Plus 128G 红色特别版 移动联通电信4G手机,3995645,挺好的，很喜欢。,2018-03-07 20:58:59,情***2,钻石会员,

Apple iPhone 7 Plus 128G 红色特别版 移动联通电信4G手机,3995645,商品不错，物流很快，满意。,2018-03-07 14:18:33,繁***航,钻石会员,来自京东Android客户端

Apple iPhone 7 Plus 128G 红色特别版 移动联通电信4G手机,3995645,非常感谢京东商城给予的优质的服务，从仓储管理、物流配送等各方面都是做的非常好的。送货及时，配送员也非常的热情，有时候不方便收件的时候，也安排时间另行配送。同时京东商城在售后管理上也非常好的，以解客户忧患，排除万难。给予我们非常好的购物体验,2018-03-07 12:50:13,小***1,钻石会员,

Apple iPhone 7 Plus 128G 红色特别版 移动联通电信4G手机,3995645,送女友的，用了那么久！满意,2018-03-06 18:18:31,j***刀,PLUS会员,来自京东Android客户端

Apple iPhone 7 Plus 128G 红色特别版 移动联通电信4G手机,3995645,质量不错没有开封，快递很快。,2018-03-06 15:32:21,l***a,钻石会员,来自京东Android客户端

Apple iPhone 7 Plus 128G 红色特别版 移动联通电信4G手机,3995645,挺实用好用的，价格也算公道，介绍给朋友了！,2018-03-06 13:10:23,凌***-,钻石会员,来自京东iPhone客户端

Apple iPhone 7 Plus 128G 红色特别版 移动联通电信4G手机,3995645,很满意 红色的真的是非常精致,2018-03-06 09:46:34,z***2,PLUS会员,来自京东iPhone客户端

Apple iPhone 7 Plus 128G 红色特别版 移动联通电信4G手机,3995645,好用的，送人的,2018-03-06 09:38:06,c***8,PLUS会员,来自京东iPhone客户端

Apple iPhone 7 Plus 128G 红色特别版 移动联通电信4G手机,3995645,质量挺好的，很不错，挺满意,2018-03-06 01:02:13,j***l,钻石会员,来自京东Android客户端

Apple iPhone 7 Plus 128G 红色特别版 移动联通电信4G手机,3995645,物流非常快！正品好评！,2018-03-05 22:55:05,w***p,钻石会员,

Apple iPhone 7 Plus 128G 红色特别版 移动联通电信4G手机,3995645,挺实用好用的，价格也算公道，介绍给朋友了！,2018-03-05 22:01:26,爱***e,PLUS会员,来自京东iPhone客户端

Apple iPhone 7 Plus 128G 红色特别版 移动联通电信4G手机,3995645,苹果7手机，反应快，屏幕分辨率高，照像清晰，红色是我喜欢的。,2018-03-05 20:39:06,j***1,PLUS会员,来自京东iPhone客户端

Apple iPhone 7 Plus 128G 红色特别版 移动联通电信4G手机,3995645,苹果还是挺好用的,2018-03-05 20:19:13,没***麽,钻石会员,来自京东Android客户端

Apple iPhone 7 Plus 128G 红色特别版 移动联通电信4G手机,3995645,宝贝收到，运行速度很快，很好用,2018-03-05 16:45:24,j***s,钻石会员,来自京东Android客户端

Apple iPhone 7 Plus 128G 红色特别版 移动联通电信4G手机,3995645,包装好，价格划算，物流很快，卖家服务很周到。很满意的一次购物！,2018-03-05 13:12:56,尘***e,PLUS会员,

Apple iPhone 7 Plus 128G 红色特别版 移动联通电信4G手机,3995645,用过苹果就再也用不了安卓了！特别漂亮的中国红，屏幕手感超级棒！！！,2018-03-05 10:18:04,西***君,PLUS会员,来自京东iPhone客户端

Apple iPhone 7 Plus 128G 红色特别版 移动联通电信4G手机,3995645,这是买过老婆的礼物，已经用了一个月了，还不错哦。,2018-03-05 09:32:21,j***m,钻石会员,来自京东iPhone客户端

Apple iPhone 7 Plus 128G 红色特别版 移动联通电信4G手机,3995645,是正品，运行速度不用说，大红色好看,2018-03-04 23:17:26,M***醒,PLUS会员,来自京东Android客户端

Apple iPhone 7 Plus 128G 红色特别版 移动联通电信4G手机,3995645,暂时没问题,2018-03-04 22:56:58,j***z,金牌会员,来自京东iPhone客户端

Apple iPhone 7 Plus 128G 红色特别版 移动联通电信4G手机,3995645,手机性价比好，比较实用，女朋友喜欢，快递比较快,2018-03-04 21:46:36,1***6,金牌会员,来自京东Android客户端

Apple iPhone 7 Plus 128G 红色特别版 移动联通电信4G手机,3995645,物廉价美  价格实惠 配送速度很快  非常棒  给京东点赞,2018-03-04 21:04:29,小***1,PLUS会员,来自京东iPhone客户端

Apple iPhone 7 Plus 128G 红色特别版 移动联通电信4G手机,3995645,一直用了好久才来评价，但是质量确实过关，用了这么久，一点没有卡顿！真好。哈哈啊，物有所值。,2018-03-04 20:18:59,L***0,PLUS会员,来自京东iPhone客户端

Apple iPhone 7 Plus 128G 红色特别版 移动联通电信4G手机,3995645,快递很快，很漂亮，用一段时间再详细评价。,2018-03-04 10:47:15,z***7,PLUS会员,来自京东Android客户端

Apple iPhone 7 Plus 128G 红色特别版 移动联通电信4G手机,3995645,效果不错～～,2018-03-04 09:59:41,j***灬,PLUS会员,来自京东iPhone客户端

Apple iPhone 7 Plus 128G 红色特别版 移动联通电信4G手机,3995645,挺好的啊 没毛病。。。,2018-03-04 09:06:50,是***咯,钻石会员,来自京东iPhone客户端

Apple iPhone 7 Plus 128G 红色特别版 移动联通电信4G手机,3995645,非常满意！系统流畅！！！！～！,2018-03-04 08:38:24,j***w,PLUS会员,来自京东Android客户端

Apple iPhone 7 Plus 128G 红色特别版 移动联通电信4G手机,3995645,心仪已久的苹果到手了！心情立马起飞了！反应就是快，抢红包都是第一个抢到的?,2018-03-03 11:41:50,不***哥,PLUS会员,来自微信购物

Apple iPhone 7 Plus 128G 红色特别版 移动联通电信4G手机,3995645,正品机器,2018-03-02 17:08:19,小***c,钻石会员,来自京东iPhone客户端

Apple iPhone 7 Plus 128G 红色特别版 移动联通电信4G手机,3995645,不错，是正品,2018-03-02 10:49:01,j***g,金牌会员,来自京东iPhone客户端

Apple iPhone 7 Plus 128G 红色特别版 移动联通电信4G手机,3995645,正品，包装好，物流也很快,2018-03-01 16:48:11,z***o,钻石会员,来自京东iPhone客户端

Apple iPhone 7 Plus 128G 红色特别版 移动联通电信4G手机,3995645,京东品质，值得信赖！,2018-03-01 11:28:22,爱***9,PLUS会员,来自京东iPhone客户端

Apple iPhone 7 Plus 128G 红色特别版 移动联通电信4G手机,3995645,新手机速度就是快一些，但是红色有点不好搭配手机壳,2018-03-01 10:59:56,卡***臭,PLUS会员,来自京东iPhone客户端

Apple iPhone 7 Plus 128G 红色特别版 移动联通电信4G手机,3995645,真是一次愉快地网购啊 我很喜欢,2018-03-01 10:23:58,夜***豆,PLUS会员,

Apple iPhone 7 Plus 128G 红色特别版 移动联通电信4G手机,3995645,红色很经典，机型漂亮，这配置非常给力，买的值~！,2018-03-01 10:15:46,贝***e,PLUS会员,

Apple iPhone 7 Plus 128G 红色特别版 移动联通电信4G手机,3995645,手机满漂亮的，配置顶级，非常好用。,2018-03-01 10:06:10,贝***贝,PLUS会员,

Apple iPhone 7 Plus 128G 红色特别版 移动联通电信4G手机,3995645,手机总的来讲还是很不错的,2018-02-28 22:39:14,疯***0,金牌会员,来自京东iPhone客户端

Apple iPhone 7 Plus 128G 红色特别版 移动联通电信4G手机,3995645,查过了，是正品行货，快递速度不错，有需要的朋友可放心购买！ 非常好,2018-02-28 22:23:28,咚***7,钻石会员,

Apple iPhone 7 Plus 128G 红色特别版 移动联通电信4G手机,3995645,红色漂亮，喜欢，很好用,2018-02-28 17:06:32,坞***-,PLUS会员,来自京东Android客户端

Apple iPhone 7 Plus 128G 红色特别版 移动联通电信4G手机,3995645,京东值得信赖，品质有保障,2018-02-28 14:03:47,小***流,PLUS会员,来自京东Android客户端

Apple iPhone 7 Plus 128G 红色特别版 移动联通电信4G手机,3995645,用的还不错,2018-02-28 11:31:13,七***7,钻石会员,来自京东iPhone客户端

Apple iPhone 7 Plus 128G 红色特别版 移动联通电信4G手机,3995645,信赖京东！服务一流！,2018-02-28 08:52:15,M***G,PLUS会员,来自京东iPhone客户端

Apple iPhone 7 Plus 128G 红色特别版 移动联通电信4G手机,3995645,此用户未及时评价，系统默认好评。,2018-02-27 22:34:02,p***0,PLUS会员,来自京东iPhone客户端

Apple iPhone 7 Plus 128G 红色特别版 移动联通电信4G手机,3995645,"第一次从京东买像手机这种大件      值得信赖
????

一直都很喜欢苹果这款 红色的",2018-02-27 20:46:17,娇***7,金牌会员,来自京东iPhone客户端

Apple iPhone 7 Plus 128G 红色特别版 移动联通电信4G手机,3995645,红色的很喜庆，老婆很喜欢~~,2018-02-27 19:34:49,j***8,PLUS会员,

Apple iPhone 7 Plus 128G 红色特别版 移动联通电信4G手机,3995645,还行，质量还是可以的。价格也差不多，就图个方便。,2018-02-27 17:24:26,C***e,PLUS会员,来自京东iPhone客户端

Apple iPhone 7 Plus 128G 红色特别版 移动联通电信4G手机,3995645,京东保质保量，一直都在京东自营。信的过,2018-02-27 11:54:28,熊***酒,PLUS会员,来自京东iPhone客户端

Apple iPhone 7 Plus 128G 红色特别版 移动联通电信4G手机,3995645,京东快递很快，没有开封，质量好,2018-02-27 09:05:31,x***o,钻石会员,来自京东Android客户端

Apple iPhone 7 Plus 128G 红色特别版 移动联通电信4G手机,3995645,手机是正品无疑，7p用起来比较流畅，至于电池，没有想象中的那么耐用，不知道是不是系统原因，手机用了两个月，目前暂无发现问题。,2018-02-27 00:44:22,j***x,PLUS会员,来自京东iPhone客户端

Apple iPhone 7 Plus 128G 红色特别版 移动联通电信4G手机,3995645,很好的啊！！！,2018-02-26 20:59:37,j***a,银牌会员,来自京东Android客户端

Apple iPhone 7 Plus 128G 红色特别版 移动联通电信4G手机,3995645,不错，好看。,2018-02-26 13:00:06,j***z,PLUS会员,来自京东iPhone客户端

Apple iPhone 7 Plus 128G 红色特别版 移动联通电信4G手机,3995645,很不错，用起来很快，很稳定,2018-02-26 08:43:58,1***8,金牌会员,来自京东iPhone客户端

Apple iPhone 7 Plus 128G 红色特别版 移动联通电信4G手机,3995645,帮家人买的，她没反馈，默认不错。,2018-02-25 19:54:18,H***小,钻石会员,来自京东Android客户端

Apple iPhone 7 Plus 128G 红色特别版 移动联通电信4G手机,3995645,在京东买过好几次了，值得信赖,2018-02-25 19:03:08,r***g,金牌会员,来自京东iPhone客户端

Apple iPhone 7 Plus 128G 红色特别版 移动联通电信4G手机,3995645,很好的一次购物,2018-02-25 17:48:37,j***石,PLUS会员,来自微信购物

Apple iPhone 7 Plus 128G 红色特别版 移动联通电信4G手机,3995645,挺好的，很满意。会一直支持的！,2018-02-25 17:23:10,伟***娟,钻石会员,来自京东Android客户端

Apple iPhone 7 Plus 128G 红色特别版 移动联通电信4G手机,3995645,再次购买，正品，非常满意。,2018-02-25 14:54:40,b***j,钻石会员,来自京东iPhone客户端

Apple iPhone 7 Plus 128G 红色特别版 移动联通电信4G手机,3995645,质量很好，发货速度很快！服务很好！！,2018-02-25 13:17:21,样***家,钻石会员,

Apple iPhone 7 Plus 128G 红色特别版 移动联通电信4G手机,3995645,屏幕效果好，电池耐用，发货速度快，服务态度好，很给力！,2018-02-25 12:40:25,r***静,钻石会员,来自京东Android客户端

Apple iPhone 7 Plus 128G 红色特别版 移动联通电信4G手机,3995645,此用户未填写评价内容,2018-02-25 11:03:51,小***乔,钻石会员,来自京东iPhone客户端

Apple iPhone 7 Plus 128G 红色特别版 移动联通电信4G手机,3995645,好,2018-02-25 07:09:12,j***7,钻石会员,来自京东Android客户端

Apple iPhone 7 Plus 128G 红色特别版 移动联通电信4G手机,3995645,非常感谢京东商城给予的优质的服务，从仓储管理、物流配送等各方面都是做的非常好的。送货及时，配送员也非常的热情，有时候不方便收件的时候，也安排时间另行配送。同时京东商城在售后管理上也非常好的，以解客户忧患，排除万难。给予我们非常好的购物体验。,2018-02-24 21:24:33,j***b,钻石会员,

Apple iPhone 7 Plus 128G 红色特别版 移动联通电信4G手机,3995645,非常喜欢，适合女式使用。,2018-02-24 21:21:17,j***1,金牌会员,来自手机QQ购物

Apple iPhone 7 Plus 128G 红色特别版 移动联通电信4G手机,3995645,此用户未及时评价，系统默认好评。,2018-02-24 20:23:03,f***u,PLUS会员,来自京东iPhone客户端

Apple iPhone 7 Plus 128G 红色特别版 移动联通电信4G手机,3995645,使用了一段时间才来评价的 很不错 喜欢,2018-02-24 11:32:34,j***b,钻石会员,

Apple iPhone 7 Plus 128G 红色特别版 移动联通电信4G手机,3995645,手机有问题  经常死机,2018-02-23 23:55:36,陈***3,钻石会员,来自京东iPhone客户端

Apple iPhone 7 Plus 128G 红色特别版 移动联通电信4G手机,3995645,不错，感觉是正品，下次还会再来,2018-02-23 23:52:00,j***0,PLUS会员,来自京东Android客户端

Apple iPhone 7 Plus 128G 红色特别版 移动联通电信4G手机,3995645,比香港贵多了。。。。。。。好后悔啊。。。。。。。。。。。。。。。,2018-02-23 22:16:57,j***',钻石会员,来自京东iPhone客户端

Apple iPhone 7 Plus 128G 红色特别版 移动联通电信4G手机,3995645,里面有别人的手机号，应该是别人用过了。哎还是去实体店买吧,2018-02-23 20:35:53,嘻***嘻,金牌会员,来自京东iPhone客户端

Apple iPhone 7 Plus 128G 红色特别版 移动联通电信4G手机,3995645,送货速度非常快送货速度非常好，会继续支持京东商城送货速度非常快送货速度非常好，会继续支持京东商城！,2018-02-23 12:13:47,张***g,钻石会员,来自京东Android客户端

Apple iPhone 7 Plus 128G 红色特别版 移动联通电信4G手机,3995645,新手机官网可以查到，就是价格比较贵，希望有更大优惠,2018-02-22 15:56:05,樱***絮,钻石会员,来自京东iPhone客户端

Apple iPhone 7 Plus 128G 红色特别版 移动联通电信4G手机,3995645,手机已经收到，买的情侣机，喜欢中国红,2018-02-22 15:26:03,j***f,金牌会员,来自京东iPhone客户端

Apple iPhone 7 Plus 128G 红色特别版 移动联通电信4G手机,3995645,很好用，大红色，我很喜欢，用起来也流畅，拍照像素也高，主要是外观我喜欢,2018-02-22 14:02:24,j***m,钻石会员,来自京东iPhone客户端

Apple iPhone 7 Plus 128G 红色特别版 移动联通电信4G手机,3995645,还不错，是正品,2018-02-22 11:20:47,一***6,金牌会员,来自京东iPhone客户端

Apple iPhone 7 Plus 128G 红色特别版 移动联通电信4G手机,3995645,外观很漂亮，拍照清晰。媳妇非常喜欢,2018-02-22 09:00:20,龙***击,银牌会员,来自京东Android客户端

Apple iPhone 7 Plus 128G 红色特别版 移动联通电信4G手机,3995645,手机用着都一样，没啥区别...,2018-02-21 22:26:32,Z***W,金牌会员,来自京东Android客户端

Apple iPhone 7 Plus 128G 红色特别版 移动联通电信4G手机,3995645,很好不错！,2018-02-20 20:38:44,j***4,钻石会员,来自京东Android客户端

Apple iPhone 7 Plus 128G 红色特别版 移动联通电信4G手机,3995645,屏幕分辩率很好，拍照很逼真，续航能力还可以,2018-02-20 00:18:44,j***i,金牌会员,来自京东Android客户端

Apple iPhone 7 Plus 128G 红色特别版 移动联通电信4G手机,3995645,物品很好 经常买 很满意的哦  给丈母娘的,2018-02-19 22:51:14,d***0,钻石会员,来自京东iPhone客户端

Apple iPhone 7 Plus 128G 红色特别版 移动联通电信4G手机,3995645,颜色很好，听朋友说不过有时没有信号。,2018-02-19 16:55:58,流***兔,钻石会员,来自京东iPhone客户端

